,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Alopekis,,,,,,,,,,,,,,,,,,,,,,,,"The Alopekis is an ancient breed that originated in Greece. They were bred for various purposes, including hunting vermin and providing companionship.",Alopekis are small-sized dogs. They typically stand around 8 to 12 inches (20 to 30 cm) tall at the shoulder and weigh between 7 to 15 pounds (3 to 7 kg).,,"Alopekis dogs are known for their lively and affectionate nature. They are loyal and devoted to their families, often forming strong bonds with their owners. They are alert, intelligent, and can be good watchdogs despite their small size.","Alopekis are generally a healthy breed, but like all dogs, they can be prone to certain genetic or hereditary health issues. Regular veterinary check-ups and a healthy diet can contribute to their overall well-being.","12 to 15 years, which is relatively long for a small breed.",,"They have a short, sleek coat that doesn’t require extensive grooming. Coat colors can vary and include black, white, tan, and various combinations.",,,Their short coat requires minimal grooming. Regular brushing to remove loose hair and periodic baths as needed should suffice.,,Alopekis are intelligent and can be trained with patience and positive reinforcement. Early socialization and training are important to ensure they develop into well-mannered companions.,,,,"While they have energy to burn, Alopekis dogs do not have extremely high exercise needs. Regular walks and playtime will generally suffice to keep them happy and healthy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Bandogge,,,,,,,,,,,,,,,,,,,,,,,,United States,"Large breed, male: 25-30 inches, female: 23-28 inches; weight: 100-150 pounds, female: 80-120 pounds",,"Intelligent, loyal, protective, and calm","Some common health problems include hip dysplasia, elbow dysplasia, and eye problems",10-12 years,Working,"Short, smooth",60-90 minutes of exercise per day,,Weekly brushing,,Early and consistent training is essential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Boston Bull Terrier,,,,,,,,,,,,,,,,,,,,,,,,United States,Small to Medium,,"Gentle, affectionate, and playful",,11-15 years,Hybrid,"Short, smooth, and fine coat that can be any color or combination of colors",Moderate,Easy to train,,,,"Brachycephalic obstructive airway syndrome (BOAS), patellar luxation, and eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Bulldog,https://api-ninjas.com/images/dogs/american_bulldog.jpg,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,10.0,12.0,28.0,24.0,100.0,80.0,20.0,20.0,75.0,60.0,United States,"Male: 22-27 inches (56-69 cm) tall at the shoulder, 60-100 pounds (27-45 kg); Female: 20-25 inches (51-64 cm) tall at the shoulder, 50-80 pounds (23-36 kg)",,"Friendly, loyal, affectionate, protective","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",10-16 years,Working,"Short, smooth",Moderate,,,,Requires early and consistent training,,,,,"The Incredible Journey” and “Homeward Bound II: Lost in San Francisco” feature Chance, a goofy American Bulldog, who embarks on a remarkable journey alongside a Golden Retriever and Himalayan Cat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Bully,,,,,,,,,,,,,,,,,,,,,,,,United States,"Standard: 18-20 inches (46-51 cm) tall at the shoulder, 50-85 pounds (23-38 kg); Classic: 17-19 inches (43-48 cm) tall at the shoulder, 40-65 pounds (18-29 kg); Pocket: 14-17 inches (36-43 cm) tall at the shoulder, 30-45 pounds (14-20 kg); XL: 20 inches (51 cm) or taller at the shoulder, 85 pounds (38 kg) or more",,"Friendly, affectionate, loyal, and protective","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",8-15 years,Bully,"Short, smooth coat that is black, blue, brown, fawn, red, or white in color",Moderate,,,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American English Coonhound,https://api-ninjas.com/images/dogs/american_english_coonhound.jpg,3.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,11.0,12.0,26.0,26.0,65.0,65.0,24.0,24.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Eskimo Dog,https://api-ninjas.com/images/dogs/american_eskimo_dog.jpg,5.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,13.0,15.0,26.0,26.0,65.0,65.0,24.0,24.0,45.0,45.0,United States,Small to Medium,,"Intelligent, loyal, and playful",,12-15 years,Non-Sporting,"Medium-length, dense white coat",Moderate,Easy to train,,,,"Hip dysplasia, patellar luxation, and eye problems",,,,,15-35 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Foxhound,https://api-ninjas.com/images/dogs/american_foxhound.jpg,5.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,11.0,13.0,25.0,25.0,70.0,65.0,22.0,22.0,65.0,60.0,The United States,"Male: 21-25 inches (53-64 cm) at the shoulder, 60-70 pounds (27-32 kg); Female: 20-24 inches (51-61 cm) at the shoulder, 50-60 pounds (23-27 kg)",,"Friendly, playful, gentle, intelligent","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",10-13 years,Hound,"Short, smooth",High,,Low,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Hairless Terrier,https://api-ninjas.com/images/dogs/american_hairless_terrier.jpg,5.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,14.0,16.0,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pit Bull Terrier,,,,,,,,,,,,,,,,,,,,,,,,United States,Pit Bulls are a medium-sized breed. Males stand 18-19 inches tall at the shoulder and weigh 35-60 pounds; females stand 17-18 inches tall and weigh 30-50 pounds,,"Affectionate, loyal, playful, and intelligent","Prone to hip dysplasia, elbow dysplasia, and allergies",12-14 years,,"Short, smooth coat that comes in a variety of colors, including black, brown, white, brindle, and red",Moderate; needs at least 30 minutes of exercise per day,,Low-maintenance; brush once a week,,Easy to train but can be stubborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Staffordshire Terrier,https://api-ninjas.com/images/dogs/american_staffordshire_terrier.jpg,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,12.0,16.0,19.0,19.0,70.0,55.0,18.0,18.0,55.0,40.0,United States,Medium,,"Friendly, loyal, and courageous",,12-14 years,Terrier,Short and smooth,Moderate,Early and consistent training is recommended,,,,"Some common health concerns include hip dysplasia, elbow dysplasia, and eye problems",,,,,40-70 pounds,Any color or combination of colors,"Our Gang” series is commonly referred to as a Pit Bull; however, the original Pete the Pup was a UKC-registered American Staffordshire Terrier. The dog passed away under tragic circumstances in 1930 and was replaced by an American Pit Bull Terrier.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Water Spaniel,https://api-ninjas.com/images/dogs/american_water_spaniel.jpg,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,10.0,14.0,18.0,18.0,45.0,40.0,15.0,15.0,30.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatolian Shepherd Dog,https://api-ninjas.com/images/dogs/anatolian_shepherd_dog.jpg,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0,11.0,13.0,29.0,29.0,150.0,120.0,29.0,29.0,110.0,80.0,Turkey,"27-29 inches tall at the shoulder, 110-150 pounds",,"Independent, loyal, protective, and territorial","Generally healthy, but can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and bloat",11-13 years,Working dog,"Long, thick double coat, can be fawn, brindle, gray, or black","High, 60-90 minutes of exercise per day",,,,"Needs early socialization and training, can be stubborn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller Sennenhund,https://api-ninjas.com/images/dogs/appenzeller_sennenhund.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,12.0,15.0,22.0,22.0,70.0,70.0,19.0,19.0,48.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzeller Sennenhunde,,,,,,,,,,,,,,,,,,,,,,,,Switzerland,Medium,,"Intelligent, loyal, and lively",,12-15 years,Herding,"Short, smooth double coat that is black or brown with very symmetrical markings",High,Early and consistent training is recommended,,,,"Some common health concerns include hip dysplasia, elbow dysplasia, and eye problems",,,,,48-70 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian Gampr,,,,,,,,,,,,,,,,,,,,,,,,"The Armenian Gampr originated in the Armenian Highlands, which is located in the South Caucasus region of Eurasia. It is one of the oldest dog breeds in the world, with a history dating back over 2,000 years.","Armenian Gamprs are large dogs, typically weighing between 70 and 110 pounds and standing 25 to 30 inches tall at the shoulder.","Armenian Gamprs have a thick double coat that can be any color, including black, brown, white, and brindle. They have a large head with a broad muzzle and a short tail.",,"Armenian Gamprs are generally healthy dogs, but they are prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems.",Armenian Gamprs have a lifespan of 10-12 years.,,,,,Armenian Gamprs require regular grooming to maintain their thick coat. Brushed them at least once a week and bathed as needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aussiedoodle,,,,,,,,,,,,,,,,,,,,,,,,The Aussiedoodle is a designer dog breed that originated in the United States by crossing the Australian Shepherd with the Poodle. This crossbreeding was aimed at creating a smart and versatile companion.,"Aussiedoodles come in various sizes, ranging from small to medium. The size depends on the Poodle parent used in the breeding, with toy, miniature, and standard sizes available.",,"Aussiedoodles are known for their intelligence, energy, and friendly nature. They are often social dogs that get along well with families, children, and other pets.","Aussiedoodles, like all mixed breeds, can inherit health concerns from their parent breeds. While generally healthy, they may be prone to issues like hip dysplasia, eye problems, and allergies.","On average, Aussiedoodles have a lifespan of about 10 to 15 years.",,"Aussiedoodles can have a coat that ranges from wavy to curly, depending on the specific dog’s genetics. Coat colors and patterns vary widely, often inheriting a combination of traits from their Australian Shepherd and Poodle parents.",,,"The grooming needs of an Aussiedoodle can vary based on the coat type they inherit. Curlier coats may require more frequent brushing to prevent matting, although wavier coats might need less maintenance. Regular grooming sessions are essential to keep their coats healthy.",,"These dogs are highly trainable, thanks to the intelligence of both parent breeds. Positive reinforcement training methods work well, as they respond eagerly to rewards and praise.",,,,Aussiedoodles have moderate to high exercise requirements. Regular physical activity and mental stimulation are crucial to prevent boredom and ensure their well-being.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Cattle Dog,https://api-ninjas.com/images/dogs/australian_cattle_dog.jpg,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0,12.0,16.0,20.0,20.0,50.0,50.0,18.0,18.0,35.0,35.0,"Blue Heelers were originally bred in Australia to herd cattle. They are a mix of dingo, Smithfield cattle dogs, and other herding breeds.","18-20 inches tall and weigh 40-50 pounds, and females stand 17-19 inches tall and weigh 35-45 pounds.",,"Blue Heelers are intelligent, energetic, loyal, and protective dogs. They are good with children but can be wary of strangers. They need early and consistent socialization to help them get along with other dogs.",,12-15 years,,"Australian Cattle Dogs have a short, double coat that is either blue or red merle. The double coat helps to protect them from the weather. They require minimal grooming, and should only be bathed when necessary.","This breed needs a lot of exercise. They need at least 2 hours of exercise per day, preferably in a fenced yard or other safe area. They are also very active indoors and need plenty of toys and activities to keep them occupied.",,,,They are easy to train but need early and consistent socialization. They are very intelligent dogs and can learn a variety of commands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Kelpie,https://api-ninjas.com/images/dogs/australian_kelpie.jpg,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0,10.0,13.0,20.0,20.0,50.0,50.0,17.0,17.0,35.0,35.0,Australia,Medium,,"Intelligent, alert, and eager",,10-14 years,Herding,"Short, flat, and straight coat that can be black, chocolate, red, smoky blue, fawn, or black and tan",High,Easy to train,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, and eye problems",,,,,35-45 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Labradoodle,,,,,,,,,,,,,,,,,,,,,,,,Australia,"Medium to large, male: 21-26 inches, female: 18-22 inches; weight: 50-75 pounds, female: 40-65 pounds",,"Friendly, intelligent, and outgoing","Generally healthy, but can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems",12-15 years,Hybrid,"Curly, wavy, or straight; can be any color",30-60 minutes of exercise per day,,Weekly brushing and occasional baths,,Easy to train with positive reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Retriever,,,,,,,,,,,,,,,,,,,,,,,,The Australian Retriever dog breed is a cross between the Australian Shepherd and the Golden Retriever. It hails from the United States.,"Australian Retrievers are medium to large-sized dogs, with males typically standing 20-23 inches (51-58 cm) tall at the shoulder, and females slightly smaller.","These dogs have a striking appearance with a double coat that is dense and water-resistant. Their fur can come in various colors, including black, red, blue merle, or a combination of these, often with the characteristic “Aussie” markings and the golden retriever’s luscious coat.","Australian Retrievers are known for their friendly and sociable nature. They are highly intelligent, loyal, and eager to please, making them excellent family pets. They are also known for their herding instincts and may try to “herd” children or other animals.","Like all breeds, Australian Retrievers can be prone to certain health issues, including hip dysplasia, cataracts, and epilepsy. Responsible breeding and regular veterinary check-ups are essential for their well-being.","On average, Australian Retrievers have a lifespan of 10 to 13 years when well cared for.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Shepherd,https://api-ninjas.com/images/dogs/australian_shepherd.jpg,5.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0,12.0,15.0,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,"Despite its name, the Australian Shepherd is not actually from Australia. They originated in the United States.","20 to 23 inches (51 to 58 cm) tall at the shoulder, while females are slightly smaller, ranging from 18 to 21 inches (46 to 53 cm).",,"Australian Shepherds are highly intelligent, energetic, and versatile dogs. They have a strong work ethic, and are loyal and affection towards their families. They are reserved with strangers but are generally friendly and social once they warm up.","Australian Shepherds are generally a healthy breed, but like all breeds, they can be prone to certain genetic health issues. Common concerns include hip dysplasia, eye disorders, and epilepsy. Regular veterinary check-ups and a healthy lifestyle can help mitigate these risks.",12 to 15 years,,"They have a double coat that is of medium length and can be either straight or wavy. The coat comes in various colors, including black, blue merle, red, and red merle, often with white markings and copper points.",,,Their coat requires regular brushing to prevent matting and keep it looking its best.,Herding Group,"Australian Shepherds are quick learners and excel in various dog sports and activities. Early socialization and consistent, positive reinforcement-based training are crucial for their well-rounded development.",,,,"This breed is very active and requires regular exercise to keep them both physically and mentally stimulated. Daily walks, playtime, and interactive activities are essential to prevent boredom and ensure their well-being.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Terrier,https://api-ninjas.com/images/dogs/australian_terrier.jpg,5.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,11.0,15.0,11.0,11.0,20.0,20.0,10.0,10.0,15.0,15.0,Australia,Small,"They have a distinctive appearance with a wiry, dense double coat that can be blue and tan or red. Their eyebrows and beard give them a charming and rugged look.","Australian Terriers are known for their spirited and affectionate nature. They are loyal, intelligent, and often described as “big dogs in a small package.” They can be reserved around strangers but are generally good with their families.","Like all breeds, Australian Terriers can be prone to certain health issues, including hip dysplasia and patellar luxation. Regular vet check-ups are essential for their well-being.",12 to 15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azawakh,https://api-ninjas.com/images/dogs/azawakh.jpg,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,12.0,15.0,29.0,29.0,55.0,44.0,25.0,25.0,44.0,33.0,West Africa,"Medium to large, male: 23-29 inches, female: 21-27 inches; weight: 33-55 pounds, female: 22-44 pounds",,"Independent, aloof, and reserved with strangers; loyal and affectionate with family","Some common health problems include hip dysplasia, elbow dysplasia, and eye problems",12-15 years,Sighthound,"Short, fine",30-60 minutes of exercise per day,,Weekly brushing,,Early and consistent training is essential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbado da Terceira,https://api-ninjas.com/images/dogs/barbado_da_terceira.jpg,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,12.0,14.0,22.0,22.0,60.0,57.0,20.5,20.5,55.0,46.0,"Terceira Island, Azores, Portugal",Medium,,"Intelligent, loyal, and protective",,10-12 years,Herding,"Medium-length, dense coat that is black, fawn, yellow, or gray, often with a mix of colors",Moderate,Early and consistent training is recommended,,,,"Hip dysplasia, elbow dysplasia, and eye problems",,,,,45-55 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
