dog_breed,review
English Bulldogs," Most breed clubs call this breed simply Bulldog. But he is also referred to as English Bulldog  or British Bulldog  to distinguish him from other bulldog-type breeds such as the French Bulldog or American Bulldog. The AKC Standard says the disposition of the English Bulldog should be ""equable and kind, resolute and courageous.... demeanor should be pacific and dignified."" In other words, the English Bulldog is one of the most amiable of all breeds. Despite his gloomy mug. Bulldog puppies are frisky, but adults are quiet and rather phlegmatic, spending much of the day snoring on the sofa. But they definitely need some exercise to stay fit, preferably walks in cool weather. Some English Bulldogs are friendly with strangers, while others are politely reserved. Though not a barking watchdog, his blocky build and his rolling, shuffling gait give intruders pause. It takes a tremendous amount of serious teasing or threatening to provoke this sweet-natured breed, but once aroused, he can be a force to reckon with. His tenacity and resolve mean that it's difficult to change his mind once he decides to do something. Usually peaceful with other pets, some male Bulldogs may engage in a battle of wills (or jaws) with other males. Though stubborn, the English Bulldog is surprisingly sensitive, remembers what he learns, and responds well to patient, persistent training. If you want a dog who... An English Bulldog may be right for you. If you don't want to deal with... An English Bulldog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the English Bulldog If I was considering an English Bulldog, I would be most concerned about... To teach your Bulldog to listen to you, see English Bulldog Training. Be aware that English Bulldogs can be very possessive of their food bowl. Don't feed an English Bulldog in the presence of other animals. Children should also be kept away, just to be safe. Honestly? I don't recommend buying an English Bulldog puppy, as that only encourages people to keep breeding unhealthy puppies. If you really want this breed, please consider adopting an adult Bulldog who desperately needs a home. Provide the best life you can for him, managing his health problems as they occur. You can ward off some health issues by following the advice on my Bulldog Health Page."
Bullmastiffs," Though usually mild-mannered, the powerful Bullmastiff is also serious and self-assured. He is afraid of nothing, and once aroused will seldom back down. Bullmastiff puppies (up to two or three years old) can be rambunctious and have an aversion to keeping all four feet on the ground at the same time. Fortunately, adults are calm and quiet and need only moderate exercise to maintain their impressive muscle tone. This breed is intensely loyal to his family and doesn't like being left outside. If he doesn't get enough companionship or personal attention, he may walk through fences just to be with people. Though sensible with strangers, the Bullmastiff does have well-established protective and territorial instincts. He must be thoroughly socialized at an early age so that he learns to distinguish friend from foe. He can be aggressive with other dogs of the same sex, and though he may be fine with the family cat, strange animals will not be accepted onto his property. Tremendously strong and stubborn, Bullmastiffs are inclined to do things their own way and will test members of the family. However, he will respond to early, consistent obedience training that includes leadership, cheerful praise, and food rewards. Overall, he's a splendid, capable companion for assertive owners, but without ongoing time and effort, socialization and supervision, he is too much to handle. If you want a dog who... A Bullmastiff may be right for you. If you don't want to deal with... A Bullmastiff may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Bullmastiff If I was considering a Bullmastiff, I would be most concerned about... Since you need to minimize their exercise, young Bullmastiffs can be very rambunctious. They will romp with uncoordinated gawkiness all over your house. You need to substitute extra quantities of companionship and supervision during this trying time. Otherwise your young Bullmastiff will become bored and destructive and his powerful jaws can literally destroy your living room. To teach your Bullmastiff to listen to you, I recommend ""Respect Training."" My Bullmastiff Training page discusses the program you need. Frankly, most Bullmastiffs are ""too much dog"" for the average household. This is a serious working dog with tremendous strength. Very few people really have the ability to manage this breed."
English Bull Terriers," There is a Standard Bull Terrier (medium-sized) and a Miniature Bull Terrier (mid-sized) that are considered separate breeds. But they have similar temperaments: sweet-tempered, yet also rowdy and clownish, full of fire and determination. This muscular, forceful, vigorous dog does best with active families, for he has a high energy level that comes in spurts and bursts. He needs frequent brisk walks, occasional vigorous games of ball, and total immersion in the family, i.e. LOTS of companionship and interactive play sessions. If ignored, Standard and Miniature Bull Terriers will become bored, and mischief will surely follow. Youngsters who are neglected can be especially rambunctious: happily devouring your furniture and excavating great caverns in your yard. Most Bullies greet strangers with enthusiastic bounding (often knocking the guest over) and face kissing. However, aggression and timidity are present in some lines, and early socialization is important to develop a stable attitude. An English Bull Terrier should not be kept with another dog of the same sex, and cats may or may not be safe. Bull Terriers can be very possessive of their food – do not allow another pet or a child to approach a Bull Terrier when he is eating.. At some point, if you have not raised this breed with consistent leadership, he will likely challenge your ability to control his actions. Such dominance attempts must be met with calm assertiveness. Keep training sessions brief but frequent to keep drilling home the commands he needs to learn. Some Bull Terriers are enthusiastic ""talkers"" who grunt and mumble to themselves; it's quite amusing. If you want a dog who... A Standard or Miniature English Bull Terrier may be right for you. If you don't want to deal with... A Standard or Miniature English Bull Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the English Bull Terrier If I was considering a Bull Terrier, I would be most concerned about... To teach your Bull Terrier to listen to you, I recommend ""Respect Training."" My Bull Terrier Training Page discusses the program you need. Frankly, most Bull Terriers, both Standard and Miniature, are ""too much dog"" for the average household to manage."
Cairn Terriers," Are you old enough to remember Toto, the brave little terrier in The Wizard of Oz? Toto was a Cairn Terrier. Befitting his breed, Toto was everything a terrier was designed to be – sturdy, plucky, hardy, spirited. ""He stands up on his toes"", is an old saying about terriers in general. The Cairn Terrier loves to play and needs his daily walks. But he is adaptable to any home in which he can be a full participant and busybody and where his bold terrier traits are kept under control by a confident owner. Adult Cairn Terriers may be friendly or reserved with strangers, but are always alert and quick to announce guests. This breed can be scrappy and bossy with other pets, but will co-exist with them more readily than some other terriers. However, strange animals may be a different story, as the Cairn Terrier was bred to hunt and will chase anything that moves. He is inquisitive, so a leash or fenced yard is essential at all times. Assertive but cheerful, with typical terrier stubbornness, the Cairn Terrier must be shown that you are in charge. But he does respond well to consistent discipline and lots of praise. Cairn Terriers can be possessive of their food and toys. And being respectable terriers, they are enthusiastic diggers and barkers. If you want a dog who... A Cairn Terrier may be right for you. If you don't want to deal with... A Cairn Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Cairn Terrier If I was considering a Cairn Terrier, I would be most concerned about... Overall, as a breed, Cairn Terriers tend to be in the middle of the terrier spectrum. But of course there are some individual Cairns who will be in the higher end. To teach your Cairn Terrier to listen to you, I recommend ""Respect Training."" My Cairn Terrier Training Page discusses the program you need. I do not recommend terriers for homes with small children. Many terriers will not tolerate any nonsense from little life forms whom they consider to be below themselves in importance. Many terriers are quick to react to teasing, and even to the normal clumsiness that comes with small children (accidental squeezing of their ears or pulling of whiskers or stepping on their paw). Many terriers are possessive of their food and toys and will defend these from all comers, including children."
Canaan Dogs," The AKC Standard says, ""The Canaan Dog moves with athletic agility and grace, with a quick, brisk, ground-covering trot."" The Canaan Dog is light-footed and can turn on a dime, making him a natural for agility classes where dogs must race nimbly over a canine obstacle course. However, this assumes that you have the skills to train him! Canaan Dogs are independent thinkers who resist repetitious training, which they find boring. Motivate them with variation, praise, and occasionally food. They may also test you for pack leadership, so they require a confident, consistent owner. The Canaan Dogs retains many ""primitive dog"" instincts. For example, he makes a vigilant watchdog due to his keen senses, his wariness of strangers, his territorial instincts, and his distrust of anything new or different. He is 100 percent aware of his surroundings, constantly observing and listening. He will sound the alarm at every perceived threat. This tends to be a vocal breed – barking and whining may need to be controlled. Also be aware that a watchdog is not the same thing as a guard dog. The Canaan Dog is not aggressive toward people. Rather, he reacts to a stranger's intrusion into his territory defensively – by retreating just out of reach and barking continuously. Because caution can easily shade into shyness and fearfulness, early and extensive socialization is required to build a confident, stable temperament. Dog to dog aggression can be a problem in some Canaan Dogs, as can chasing smaller animals. A strong prey drive is another primitive instinct. Also digging – another primitive instinct you need to be aware of if you have flower gardens. Finally, this independent dog is self-reliant and doesn't need constant petting. What he DOES need is plenty of mental stimulation such as advanced obedience training, agility, tracking, herding (yes, a well-bred Canaan Dog has herding instincts). This intelligent dog is an excellent problem-solver and if you don't keep him occupied, he will become bored, which can lead to destructiveness. Canaan Dogs will take as much exercise as you can offer, yet adults are calm enough to curl up on the sofa when the day's work or fun is over. If you want a dog who... A Canaan Dog may be right for you. If you don't want to deal with... A Canaan Dog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Canaan Dog If I was considering a Canaan Dog, I would be most concerned about... Get your Canaan Dog involved in herding, or agility (obstacle course), or advanced obedience. They need physical outlets for their energy and mental outlets for their intelligent minds."
Cane Corsos," When it comes to athleticism, agility, speed, energy level, and sense of adventure, the Cane Corso (CAH-nay COR-so)  easily outdoes the other mastiff breeds. This robust dog needs his share of exercise, but above all he requires personal interaction and lots of companionship. He lives for his family and may become destructive if left alone too much. Cane Corso puppies should be friendly and trusting with strangers. With proper socialization, they become more aloof and discerning as they mature. As with all mastiffs, socialization is an absolute requirement to promote the correct temperament, which should be protective in a calm and discriminating way. Unfortunately, an awful lot of people are breeding or raising these dogs in irresponsible ways and the result is an awful lot of Cane Corsos with unstable or aggressive temperaments that can be dangerous to innocent people. Though the Cane Corso was not used for dog-fighting, dog aggression (often very serious) can still be a problem. He should be thoroughly socialized with other dogs from an early age. I wouldn't keep a Cane Corso with another large dog of the same sex. The Cane Corso is more attentive to his owner and more responsive to training than other mastiffs. Though quite dominant and strong-willed, he will respect an owner who is confident and consistent. Cane Corsos have tighter skin than other mastiffs and drool less. Some love to dig holes, and most enjoy splashing in water, whether it be a pond or a mudhole, the lawn sprinkler or their water bowl. These are not dainty dogs for fastidious housekeepers! If you want a dog who... A Cane Corso may be right for you. If you don't want to deal with... A Cane Corso may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Cane Corso (Italian Mastiff) If I was considering a Cane Corso, I would be most concerned about... Since you need to minimize their exercise, young Cane Corsos can be very rambunctious. They will romp with uncoordinated gawkiness all over your house. You need to substitute extra quantities of companionship and supervision during this trying time. Otherwise your young mastiff will become bored and destructive and his powerful jaws can literally destroy your living room. To teach your Cane Corso to listen to you, ""Respect Training"" is mandatory. My Cane Corso Training article discusses the program you need. Frankly, most Cane Corsos are ""too much dog"" for the average household. Very few people really have the ability to manage this breed."
Cardigan Welsh Corgis," Spirited and athletic, steady and dependable, the Cardigan Welsh Corgi is a big dog on short legs. By that I mean his body is more heavily-boned and stronger than you might think, and also his temperament is that of a larger dog. Corgis were developed as herding dogs, darting beneath the kicks of unruly cattle and biting at their heels to move them along. So they are tough working dogs! If you don't have cattle, you can substitute ball-playing games as an enjoyable outlet for their enthusiasm and desire to work. If his days include such moderate exercise, along with the companionship of his family, the Cardigan Welsh Corgi is adaptable and easy to live with. He is polite with guests, reserved with strangers, and makes a sensible watchdog. Corgis do bark, be forewarned. Often too much! Most are fine with other family pets, including livestock and horses. But he tends to be territorial with strange dogs and cats. One of his responsibilities as a farm dog was to chase strays away from his own farm. This bright breed learns quickly. But he has the independent mindset of a true herding breed, so you must have the confidence to establish and consistently enforce rules, else he will make up his own. His close cousin, the Pembroke Welsh Corgi is generally considered easier to train than the Cardigan. Like most herding breeds, Corgis prefer their flock (family members and other pets) to be gathered together and may try to accomplish this by circling and nipping. If you want a dog who... A Cardigan Welsh Corgi may be right for you. If you don't want to deal with... A Cardigan Welsh Corgi may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Cardigan Welsh Corgi If I was considering a Cardigan Welsh Corgi, I would be most concerned about... I recommend that you get your Cardigan Welsh Corgi involved in regular obedience classes (beyond the beginners level – join a dog club and go every week). Also consider agility classes (an obstacle course for dogs) or even herding, if there is a herding club in your area. Also consider my book, Teach Your Dog 100 English Words, because teaching your dog words and games stimulates his brain and keeps him happy!"
Cavalier King Charles Spaniels,"Australian Ch. Kahleyvale Colourmyworld (Tilly) Often called a ""sporting toy breed"" because of his combination of spaniel and toy traits, the Cavalier King Charles Spaniel is sweet-tempered, playful, and gentle. This comfort-loving breed adores cuddling in laps and snuggling on soft pillows, but he also has more athletic instincts than you might think. Indeed, he can be a runner and chaser. A fenced yard or a leash are musts at all times, because many Cavaliers will pursue squirrels, chipmunks, low-flying birds, even butterflies, right into the street. Cavaliers do need a decent amount of exercise – a couple of long daily walks and definitely a fenced yard in which to run. Otherwise they will become fat and lethargic. Just as importantly, this breed is VERY dependent on human conpanionship. They need companionship most of the day and become stressed when left alone too long. Separation anxiety is a real problem with Cavaliers. , so should have companionship (either human or other pets) most of the day. A Cavalier who is lonely will whine or bark or chew destructively. Most Cavaliers are polite with everyone and peaceful with other dogs and cats. As with all sweet-tempered dogs, there is potential for timidity, so Cavalier King Charles Spaniel puppies need plenty of early socialization to build a confident, outgoing temperament. Though they do have an independent streak, Cavaliers are soft-tempered dogs who are willing to please. They respond well to cheerful training – as long as they respect you. If you want a dog who... A Cavalier King Charles Spaniel may be right for you. If you don't want to deal with... A Cavalier King Charles Spaniel may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of Cavalier King Charles Spaniels If I was considering a Cavalier, I would be most concerned about..."
Cesky Terriers," Though short-legged, the Cesky Terrier is NOT a small dog. His long body is much heavier and more substantial than you might think. The rugged, persistent Cesky Terrier has more hunting instincts than some other terriers. When he is outdoors, his large inquisitive nose is usually glued to the ground in search of prey that he can chase and kill. But indoors he is calm and laid-back, with a sweet disposition toward his family and other pets. Given moderate exercise in a safely enclosed yard or dog parkand given lots of personal attention (he doesn't like being left alone for long periods), the Cesky Terrier can fit into a small city home as readily as a sprawling country estate. With strangers, Cesky Terriers are usually reserved but polite, though early socialization is a must to develop this attitude. With other dogs and cats, he is more sociable than most terriers. Squirrels and other rodents, however, will be chased with determination. Though he has his stubborn, independent streak, he responds pretty well to training that includes lots of praise and a few treats. Just go easy on the treats so that he doesn't pack on weight. This may be easier said than done, as he tends to be a food thief whose long reach, when standing on his hind legs, can result in the birthday cake vanishing off the kitchen countertop. And unfortunately, it isn't only food that Cesky Terriers like to eat. They are noted for swallowing inedible objects, which may lead to a frantic night in the veterinary emergency room. If you want a dog who... A Cesky Terrier may be right for you. If you don't want to deal with... A Cesky Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Cesky Terrier If I was considering a Cesky Terrier, I would be most concerned about..."
Chesapeake Bay Retrievers," The Chesapeake Bay is the most powerful of the retrievers, with the strongest personality. This rugged dog should be taken hiking and swimming as often as possible. A walk around the block is not nearly enough to maintain his muscle tone or to satisfy his working instincts. This breed needs a job to do (learning obedience exercises, fetching a stick or ball, canine fieldwork), else he will find his own ways to keep himself busy, and you may not appreciate his choices. Unlike the more popular Labrador and Golden Retrievers, the Chesapeake is intensely loyal to his family, reserved with strangers, and possessed of good discriminatory instincts. Thus he makes a fine watchdog, but is not usually aggressive toward strangers. Most Chesapeake Bay Retrievers are fine with the pets in their own family, but can be territorial with strange dogs and cats. As with all retrievers, you must control his tendency to chew on objects and to mouth your hands. Provide a box filled with toys so he can carry something around in his mouth if he wants to. Confident leadership and obedience training are required to develop respect. Chesapeakes will test members of the family to find his place in the pecking order. If you don't take the top position, he will. If you want a dog who... A Chesapeake Bay Retriever may be right for you. If you don't want to deal with... A Chesapeake Bay Retriever may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Chesapeake Bay Retriever If I was considering a Chesapeake Bay Retriever, I would be most concerned about... To teach your Chesapeake to listen to you, ""Respect Training"" is mandatory. My Chesapeake Bay Retriever Training page discusses the program you need."
