,name,life_expectancy,height,weight,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
85,Estrela Mountain Dog,12.0,26.75,104.5,5.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,3.0
86,Eurasier,14.0,21.5,55.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0
87,Field Spaniel,12.5,18.0,42.5,5.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0
88,Finnish Lapphund,13.5,19.5,43.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0
89,Finnish Spitz,14.0,18.75,26.5,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0
90,Flat-Coated Retriever,9.0,23.75,65.0,5.0,5.0,3.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0
91,French Bulldog,11.0,12.0,23.0,5.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,3.0,1.0
92,French Spaniel,11.0,22.75,55.0,5.0,5.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,5.0,4.0,3.0
93,German Longhaired Pointer,13.0,25.0,67.5,5.0,4.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,3.0
94,German Pinscher,13.0,18.5,35.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0
95,German Shepherd Dog,8.5,25.0,68.75,5.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0
96,German Shorthaired Pointer,11.0,24.0,57.5,5.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0
97,German Spitz,14.0,13.5,25.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,5.0,3.0,5.0
98,German Wirehaired Pointer,15.0,25.0,60.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,3.0
99,Giant Schnauzer,13.5,26.5,68.75,3.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,3.0
100,Glen of Imaal Terrier,12.5,13.25,36.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0
101,Golden Retriever,11.0,23.5,65.0,5.0,5.0,4.0,2.0,2.0,1.0,5.0,4.0,3.0,5.0,3.0,1.0
102,Gordon Setter,12.5,25.5,62.5,3.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0
103,Grand Basset Griffon Vendéen,14.0,16.75,42.5,3.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,3.0,3.0,5.0,4.0
104,Great Dane,8.5,31.0,141.25,3.0,3.0,3.0,1.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0
105,Great Pyrenees,11.0,29.5,100.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0
106,Greater Swiss Mountain Dog,9.5,27.0,112.5,5.0,3.0,3.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0
107,Greyhound,11.5,29.0,65.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0
108,Harrier,13.5,20.0,52.5,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0
109,Havanese,15.0,10.0,10.0,5.0,5.0,2.0,3.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0,4.0
110,Hokkaido,13.5,19.0,55.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0
111,Hovawart,12.0,25.5,77.5,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,3.0,1.0
112,Ibizan Hound,12.5,25.5,47.5,3.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0
113,Icelandic Sheepdog,13.0,18.0,27.5,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0
114,Irish Red And White Setter,13.0,25.25,46.75,5.0,5.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0
115,Irish Setter,13.5,27.0,65.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0,3.0,4.0,5.0,3.0
116,Irish Terrier,14.0,18.0,26.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0
117,Irish Water Spaniel,12.5,23.0,56.5,3.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0,3.0,5.0,3.0,1.0
118,Irish Wolfhound,7.0,33.0,112.5,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0
119,Italian Greyhound,14.5,14.0,10.5,3.0,5.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0
120,Jagdterrier,11.0,14.5,19.5,3.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0
121,Japanese Akitainu,13.5,26.25,65.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0
122,Japanese Chin,11.0,9.5,9.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0
123,Japanese Spitz,13.0,13.5,17.5,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0
124,Japanese Terrier,13.5,12.0,7.5,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0
125,Jindo,14.0,20.0,40.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0
126,Kai Ken,13.5,17.5,30.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0
127,Karelian Bear Dog,12.0,21.25,46.5,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0
128,Keeshond,13.5,18.0,40.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0
129,Kerry Blue Terrier,13.5,18.75,36.5,4.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,5.0,3.0,4.0,4.0
130,Kishu Ken,13.5,19.5,45.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,1.0
131,Komondor,11.0,27.5,109.5,3.0,2.0,1.0,4.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0
132,Kuvasz,11.0,29.0,93.75,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0
133,Labrador Retriever,11.0,23.5,67.5,5.0,5.0,4.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0
134,Lagotto Romagnolo,16.0,18.0,29.625,3.0,5.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0
135,Lakeland Terrier,13.5,14.75,16.5,3.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0
136,Lancashire Heeler,13.5,11.0,13.0,5.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0
137,Lapponian Herder,12.0,19.0,70.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0
138,Leonberger,7.0,29.75,127.5,5.0,3.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,5.0,3.0,3.0
139,Lhasa Apso,13.5,10.5,15.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0
140,Löwchen,14.0,13.0,15.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0
141,Maltese,13.5,8.0,7.7,3.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0
142,Manchester Terrier (Standard),16.0,15.5,17.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0
143,Manchester Terrier (Toy),16.0,11.0,10.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0
144,Miniature American Shepherd,12.5,16.0,30.0,5.0,5.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0
145,Miniature Bull Terrier,12.0,12.0,23.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0
146,Miniature Pinscher,14.0,11.25,9.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,5.0,5.0
147,Miniature Schnauzer,13.5,13.0,15.5,5.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,3.0,5.0
148,Mountain Cur,11.5,21.0,45.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0
149,Mudi,13.0,16.75,23.5,3.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0
150,Neapolitan Mastiff,8.0,28.5,130.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,2.0,1.0
151,Nederlandse Kooikerhondje,13.5,25.5,25.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,4.0,3.0
152,Newfoundland,9.5,28.0,125.0,5.0,5.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0
153,Norfolk Terrier,14.0,9.5,11.5,5.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0
154,Norrbottenspets,15.5,17.25,25.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0
155,Norwegian Buhund,13.5,17.75,33.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0
156,Norwegian Elkhound,13.5,20.5,51.5,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0
157,Norwegian Lundehund,13.5,14.0,25.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
158,Norwich Terrier,13.5,10.0,12.0,5.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0
159,Nova Scotia Duck Tolling Retriever,13.0,19.5,42.5,5.0,4.0,3.0,2.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,2.0
160,Old English Sheepdog,11.0,22.0,80.0,5.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0
161,Otterhound,11.5,27.0,97.5,3.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0
162,Papillon,15.0,9.5,7.5,5.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0
163,Parson Russell Terrier,14.0,14.0,15.0,3.0,5.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,5.0,3.0
164,Pekingese,13.0,7.5,10.5,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0
165,Perro de Presa Canario,10.0,24.0,97.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0
166,Peruvian Inca Orchid,13.0,23.0,40.5,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0
167,Petit Basset Griffon Vendéen,15.0,14.0,32.5,5.0,5.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,5.0
168,Pharaoh Hound,13.0,24.0,50.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0
169,Plott Hound,13.0,22.5,51.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Polish Lowland Sheepdog,13.0,19.0,40.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0
171,Pomeranian,14.0,6.5,5.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0
172,Poodle (Miniature),14.0,12.5,12.5,5.0,3.0,1.0,4.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,4.0
173,Poodle (Standard),14.0,16.0,55.0,5.0,3.0,1.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,4.0
174,Poodle (Toy),14.0,9.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,4.0
175,Porcelaine,12.5,22.5,58.5,5.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,5.0,4.0,2.0
176,Portuguese Podengo,12.5,25.0,55.0,5.0,5.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0
177,Portuguese Podengo Pequeno,13.5,10.0,11.0,5.0,5.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0
178,Portuguese Pointer,14.0,21.25,47.0,5.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,3.0
179,Portuguese Water Dog,12.0,21.5,46.75,5.0,4.0,2.0,4.0,2.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0
180,Pudelpointer,14.0,24.0,57.5,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0
181,Pug,14.0,11.5,16.0,5.0,4.0,4.0,2.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0,1.0
182,Puli,12.5,17.0,30.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0
183,Pumi,12.5,17.25,25.5,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0
184,Pyrenean Mastiff,11.5,29.0,180.0,5.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,5.0,3.0,2.0,1.0
185,Pyrenean Shepherd,18.0,16.75,22.5,3.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0
186,Rafeiro do Alentejo,13.0,27.0,104.5,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,2.0
187,Rat Terrier,15.0,11.5,17.5,5.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,3.0
188,Redbone Coonhound,13.5,24.5,57.5,5.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0
189,Rhodesian Ridgeback,11.0,26.0,77.5,5.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0
190,Romanian Mioritic Shepherd Dog,13.0,28.0,115.0,5.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0
191,Rottweiler,9.5,25.5,102.5,3.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,1.0
192,Russell Terrier,13.0,11.0,12.0,3.0,5.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0
193,Russian Toy,13.0,9.5,4.949999999999999,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0
